verb,noun,instruction
produce,type,"A company produces two types of pens, blue and red. in a given day, they produce 500 units in total, with 200 being blue and 300 being red. the number of blue pens produced is 20% more than the number of red pens produced. how many sets of 5 pens can be formed using these 500 pens?"
hold,liter,"A water tank can hold 2400 liters of water. after filling it up, there was $3\frac{1}{4}$ liters left over. what fraction of the tank is currently filled?"
arrange,letter,"In how many ways can you arrange the letters in the word ""listen"" to spell out a new word?"
have,box,"Tom has 15 boxes of pens to package for a sale. each box can hold an integer number of pens, and he wants to use different colored boxes to pack the pens so that no two boxes contain the same color. how many different ways can tom arrange his boxes?"
sell,loaf,"A bakery sells 250 loaves of bread at $2 each, 150 loaves of whole wheat bread at $3 each, and 100 loaves of rye bread at $4 each. what is the average price per loaf of bread sold by the bakery?"
produce,pen,"In a factory, two machines produce pens and pencils in quantities proportional to the number of workers who operate them. machine a produces twice as many pens as machine b produces pencils. the ratio of workers on machine a to machine b is 3:5. if there are 30 workers on machine b, how many workers are on machine a?"
sell,pizza,"A bakery sells large pizzas that can be cut into 16 slices. each pizza requires 12 cups of flour, 4 cups of sauce, and 8 cups of cheese. what is the minimum number of pizzas the bakery must make to have at least 72 cups of flour, 24 cups of sauce, and 32 cups of cheese?"
have,shelf,"A bookshelf has five shelves, each with a different height. the first shelf is 2 inches tall, the second shelf is 5 inches taller than the first, the third shelf is 2 inches shorter than the fourth shelf, which is 6 inches taller than the fifth shelf. what is the total height of the bookshelf?"
plan,trip,"A hiker is planning a trip to a nearby mountain. if she starts at the base of the mountain at 8:00 am and hikes for 2 hours, then stops for lunch. after lunch, she will hike for an additional 3 hours. how many miles does she have traveled in total?"
surround,area,"In a rectangular garden, a path that is 5 meters wide surrounds a rectangular area where flowers are planted. the width of the garden is twice its length. what is the perimeter of the inner rectangle?"
sell,loaf,"A bakery sells 250 loaves of bread per day. they make their profit by selling whole wheat bread for $2.50 each and white bread for $1.75 each. if they sell exactly half as many whole wheat loaves as white bread loaves, what is their daily profit?"
hold,liter,"A water tank can hold 2400 liters of water. due to a leak, the tank loses water at a rate of 10 liters per minute. if it takes 30 minutes for the tank to empty completely, how long would it take to fill the tank if the leak was fixed?"
save,money,"Tom has been saving money for a new bike and has $a_n$ dollars in his savings account after n months. the amount of money he saves each month is given by the formula $10^n-1$. if tom already had $45 when he started saving, what is the greatest common divisor of the amount of money he will have at the end of 6 months and the amount of money he will have at the end of 7 months?"
find,area,Find the area of a triangle with base 12 and height 8.
sell,total,A bakery sells a total of 250 loaves of bread per day. they make $2\frac{3}{4}$ dollars per loaf and spend $8$ dollars on ingredients for every twelve loaves they sell. how much do they make in profit per day?
write,rearrangement,"Stephan has been writing all possible rearrangements of his name every minute. if he can write 12 rearrangements per minute and his name contains 7 letters, how many hours will it take to write all the possible rearrangements?"
draw,abc$,"A circle is drawn on side $ac$ of right triangle $abc$ such that the circle is tangent to $ac$ and $bc$, where $ac = \sqrt{61}$ and $ab = 5$. what is the length of segment $cp$?"
plan,day,A school is planning a field day and has ordered 7 picnic tables in january. the number of tables they order each month thereafter doubles from the previous month's total. how many picnic tables will the school have ordered by may?
save,money,"Tom has been saving money for a new bike and has $150 in his savings account. he plans to add $x$ dollars every week for six weeks. if he wants to buy a bike that costs $540, how much will he need to save after six weeks if he also spends $5 per week on snacks?"
play,game,"In a certain sports league, each team plays five games during the regular season. if there are four teams in the league, how many ways can the schedule be arranged so that no two teams play more than one other team twice?"
sell,total,"A bakery sells a total of 250 loaves of bread per day. they make $0.50 per loaf on mondays, tuesdays, and fridays, but $0.75 per loaf on wednesdays and thursdays. if they sell all the loaves for these days combined, how much money do they make in total?"
have,shelf,"A library has 240 shelves, and each shelf can hold either 8 books or 12 dvds. if the total number of items on all shelves is congruent to 120 modulo 157, how many shelves have 8 books?"
sell,cookie,"A bakery sells large cookies for $\$2$each and small cookies for $\$0.50$ each. if a customer buys $x$ large cookies and $y$ small cookies, and the total cost is$\$4.20$, what is the minimum value of $x+y$?"
save,money,"Tom has been saving money for a new bike and has $15 more than 3 times the number of days he has been saving. if he currently has $75, how many days has he been saving?"
sell,type,A company is selling two types of pens: one at a price of $2 each and another at a discount of $\frac{5}{8}$ off the original price. how much will you have to pay if you buy three of these pens with different prices?
have,garden,"Tom has a rectangular garden measuring 12 meters by 8 meters, and a circular pond with a diameter of 6 meters in the center of the garden. what is the area of the region between the garden and the pond?"
sell,average,"A bakery sells an average of 420 muffins per day. if they make each muffin for $0.75, how much money does the bakery make in one month (30 days)?"
offer,deal,"The bus company offers a special deal on round trips from city a to city b. if a one-way ticket costs $\$4$, what is the total cost of three round trips?"
offer,discount,"A company offers a 15% discount on all items in its store. if an item originally costs $120, how much will it cost after the discount?"
pick,way,"By using two bunches of eggs that contain 6 eggs each, how many ways can you pick 5 eggs if the order does not matter?"
have,box,"Tom has $x$ boxes of pencils, and his friend alex has $y$ boxes of pencils. if each box can hold at most 5 pencils, how many more boxes will tom need to buy in order to have a total of at least 31 boxes?"
have,box,"Tom has 15 boxes of pens, and he wants to put an equal number of red and blue pens in each box so that there are no leftover boxes or pens. if the total number of red pens is 3/4 of the total number of red and blue pens combined, what is the ratio of the number of blue pens to the total number of pens?"
sell,loaf,"A bakery sells 250 loaves of bread per day, with 1/4 of them being whole wheat. how much money does the bakery make in a week from selling only whole wheat bread?"
sell,loaf,"A bakery sells 240 loaves of bread per day, and they come in boxes of 12 loaves each. how many boxes do they need to order if they want to package 480 loaves of bread?"
sell,total,"A bakery sells a total of 250 loaves of bread per day. they make a profit of $0.50 on each loaf of whole wheat bread and $0.75 on each loaf of white bread. if x represents the number of loaves of white bread sold, and y represents the number of loaves of whole wheat bread sold, write an equation to represent the situation and solve for x and y."
save,money,Tom has been saving money for a new bike and has $120 in his savings account. he plans to add $x amount of money every year for five years. how much money will he have saved after five years if he starts with the interest rate of 5% annually?
charge,fee,"A car rental company charges a base fee plus an additional $0.25 per mile driven. if a customer rented a car for a day and drove 120 miles, but was charged only $43.50, including tax, what was the base fee?"
have,foot,Tom has 12 feet of fencing to enclose a rectangular garden in his backyard. he wants the length of the garden to be twice the width. what is the area of the garden that tom can build?
offer,deal,"An online retailer offers two different deals on laptops: one for $800 with free shipping and another for $900 with no shipping cost but only paying 7% sales tax. if you have a $200 gift card, how much will you pay in total if you buy both options and use the gift card for one of them?"
save,money,Tom has been saving money for a new bike and has $120 in his piggy bank. he plans to add $x$ dollars every two weeks until he has enough to buy a bike that costs $180. how much more will he need to save after six months if he continues to save $x$ dollars every two weeks?
represent,sum,The series $\sum_{n = 1}^\infty \frac{2^n}{1 + 2^n + 2^{n + 1} + 2^{2n + 1}}$ represents the sum of terms from $n=1$ to infinity. find the sum of this infinite series.
have,box,"You have three boxes of cookies with different sizes: small, medium, and large. the small box contains 8 cookies each, the medium box contains 12 cookies each, and the large box contains 18 cookies each. if you want to distribute an equal number of cookies among the three boxes, how many cookies do you need to put in each box?"
have,shelf,"A bookshelf has 8 shelves, and each shelf can hold an increasing number of books from 3 to 9 books. if the bookshelf is currently empty, how many different ways can the books be arranged on the shelves?"
have,box,"Tom has $25$ boxes in a row, all with equal weight, and he wants to put them into smaller bags of three boxes each. how many different combinations of bags can be made?"
have,employee,"A company has 15 employees, and they have been given a raise that increases their salary by 20% each year for the next two years. if the initial salary is $40,000 per year, what will be the average salary after the raise in two years?"
save,money,"Tom has been saving money for a new bike and has $x$ dollars in his savings account. he decides to donate $|x-100|-|x+100|$ to charity. for each year he continues to save, he adds an additional amount equal to the absolute value of the previous year's donation. in how many different ways can tom have exactly $1000$ dollars in his savings account after 8 years?"
have,sale,"A bakery is having a sale on bread. they normally sell two loaves of whole wheat bread for $\$$5 each, but during this sale, they offer three loaves for $\$$13 instead of five. what is the discount rate (in decimal form) that the bakery is offering?"
have,box,"Tom has 15 boxes of pens that he needs to pack into bags of 3 pens each. how many bags can tom fill, and will he have any pens left over?"
sell,average,"A bakery sells an average of 250 loaves of bread per day. if they make their bread in batches of 12, how many batches do they need to bake per week?"
save,money,"Tom has been saving money for a new bike and has $240 in his savings account. he plans to buy a bike that costs $160 more than twice the price of a smaller bike, which he found on sale for 20% off its original price. if the smaller bike was originally priced at x dollars, what is the price of the bigger bike?"
hold,liter,"A water tank can hold 1200 liters of water. water flows into the tank at a rate of 10 liters per minute. however, due to a leak, 2 liters of water flow out of the tank each minute. how many minutes will it take to fill the tank if the faucet is left on for a certain amount of time?"
find,volume,Find the volume of a cylinder with a height of 6 cm and a base radius of 4 cm.
offer,type,"An airline company offers two types of fares: economy and business class. economy tickets cost $120 per person, while business-class tickets cost $200 per person. if you have a budget of $1000 for flights for four people, how many business-class tickets can you afford?"
exceed,amount,"Mike's school has three water fountains that dispense water at rates of $r_1$, $r_2$, and $r_3$. at any given time, the combined rate of water flow from these three fountains is $8 \text{ l/min}$; however, when all three fountains work simultaneously, their combined output exceeds this amount by $20 \%$. how fast does each fountain dispense water individually?"
save,money,"Tom has been saving money for a new video game that costs $\$120$. he already has$\$$x in his piggy bank, and every week he saves an additional amount of$\$y$ more. assuming that tom will continue to save money at this rate until he has enough to buy the game, determine how many weeks it will take him to reach his goal."
build,tetrahedron,"Tom is building a regular tetrahedron (right triangular pyramid) with 4 equilateral triangles as its faces. each side of the triangle has length 6 units. if m is the midpoint of cd, what is the angle amb?"
sell,card,A company sells greeting cards in packs of 12 cards each. how many different ways can they pack these 473 greeting cards into boxes containing an exact number of packs?
sell,loaf,"A bakery sells 250 loaves of bread per day. they make a profit of $3 on each loaf of whole wheat bread and a profit of $2 on each loaf of white bread. if they have made a total profit of $960 over the course of 6 days, how much did they spend on flour?"
make,batch,Tom is making a batch of cookies that require 2 cups of flour to make 12 cookies. how many cups of flour does he need to make 48 cookies?
sell,pizza,"A bakery sells large pizzas that can be ordered in various sizes: small, medium, and large. the small pizzas have a diameter of 14 inches, the medium pizzas have a diameter of 16 inches, and the large pizzas have a diameter of 18 inches. if a pizza parlor charges $5 per square inch for its pizzas, how much will it cost to cover the ceiling of a room that measures 15 feet by 20 feet with the smallest pizza, the medium pizza, or the large pizza?"
expand,expression,Expand the expression: (3x+5)(2x-4)
sell,total,"If a bakery sells a total of $250$ loaves of bread per day, and they come in boxes of 6, 8, or 12, what is the greatest number of days that will it take to sell all the bread if they do not have enough larger boxes to hold the remaining 28 loaves?"
surround,garden,"In a rectangular garden, a path that is 2 meters wide surrounds a smaller square garden with an area of 10 square meters. what is the area of the larger rectangle that includes both gardens?"
have,box,"Tom has 3 boxes of pencils, with 5 pencils in each box. if he also has a big jar of pencils that contains 17 additional pencils, how many pencils does tom have in total?"
sell,type,"A bakery sells two types of muffins: blueberry and banana. the blueberry muffin costs $1.75 more than the banana muffin, and the bakery makes 250 bananas and 180 blueberries per week. what is the price of a blueberry muffin?"
earn,interest,"Maya's savings account earns 5% interest per year. if she initially deposits $1000 into her account, how much money will she have after 5 years?"
have,box,"Tom has three boxes of pens, and each box contains 3 different colored pens - red (r), blue (b), and green (g). the first box contains only r, the second box contains only b, and the third box contains only g. if tom randomly selects one pen from any of the boxes and chooses a color that is not red, what is the probability that he chose blue or green?"
sell,total,"A bakery sells a total of 250 loaves of bread per day. they sell more bread in the morning than they do in the afternoon. in the morning, they sell x number of whole wheat breads and y number of white breads. in the afternoon, they sell z number of whole wheat breads and w number of white breads. what is the value of x + y if it is given that the ratio of whole wheat breads to white breads sold in the morning is 3:4 and in the afternoon is 5:6?"
have,classroom,"Maria's school has two classrooms, one for grades k-3 and another for grades 4-6. there are 25 students in the kindergarten class and 30 students in the grade 1-3 class. what is the maximum possible number of students who can be assigned to the kindergarten class and still allow the other class to operate as planned?"
have,shape,"A machine-shop cutting tool has the shape of a notched circle, as shown. the radius of the circle is $\sqrt{50}$ cm, the length of $ab$ is $6$ cm and that of $bc$ is $2$ cm. the angle $abc$ is a right angle. find the square of the distance (in centimeters) from $b$ to the center of the circle."
have,student,"A school has over 500 students, but after a severe storm, more than half of them were injured and evacuated to a hospital. if the remaining students make up $\frac{2}{3}$ of the original number, how many students were initially enrolled in the school?"
hold,book,"In a library, the shelves can hold books that have either 5 or 7 spines (the number of books on each shelf). if there are $x$ such shelves, then what is the value of $x$ if the total number of spines is exactly divisible by 3?"
pay,interest,"Tom invested $x$ dollars in two different bank accounts: one pays interest at a rate of 6% per year and the other at a rate of 8%. if he earns a total of $450$ dollars in interest for 5 years, what is the amount he initially invested, assuming he didn't invest any money into both accounts?"
hold,liter,"A water tank can hold 1200 liters of water. due to a leak, the amount of water lost per hour is 5% of the current amount of water in the tank. if the leak was stopped after x hours, how much water will be left in the tank?"
save,money,"Tom has been saving money for a new bike and has $240 in his savings account. he plans to add $5 more each week from his allowance. if he already has some amount of money in his account that is divisible by 8, how much will he have after one year?"
sell,total,"A bakery sells a total of 480 muffins and cakes on friday. the number of cakes sold was 3/5 of the total number of baked goods sold, while the remaining muffins were all blueberry. what fraction of the baked goods sold were not blueberry muffins?"
find,value,Find the value of x in this equation: 3x^2 + 12x - 9 = 0
have,box,"Tom has 3 boxes of pens, and each box contains a different number of pens. the total number of pens is divisible by both 3 and 6. what is the smallest possible number of pens in each box?"
sell,type,"A bakery sells a certain type of cookie that comes in packs of 8 cookies, with each pack containing a specific combination of red and blue cookies. if a customer buys 5 packs, they receive 20 more blue cookies than red cookies. how many blue cookies are in one pack?"
save,money,"Maria has been saving money for a new bike and has $480 in her savings account. she plans to add $x more dollars each month for y years. if she wants to have exactly $1000, find the value of x and y."
sell,loaf,"A bakery sells $x$ loaves of bread at $\frac{3}{4}$ the price of regular bread, and $(10-x)$ loaves at double the price of regular bread. the average price per loaf is $\$0.75$. what is the value of x?"
find,sum,"During the construction process, for every brick laid on top of another, the angle at which they intersect increases by $5^{\circ}$. starting from an initial angle of $30^{\circ}$, find the sum of all angles of intersection after 20 layers have been added."
save,money,"Tom has been saving money for a new bike and has $1200 in his savings account. he plans to mow lawns during the summer to earn more money. if he wants to have $2400 by the end of the summer, and he earns \$15 per hour for mowing lawns, how many hours must he work each week?"
find,number,"Find the number of three-digit numbers that can be formed using only the digits 1, 5, and 9."
sell,loaf,"A bakery sells 180 loaves of bread at \$$1.50 each and 120 cakes at\$$2.00 each. if there were no taxes or discounts, what was the total revenue generated from these sales?"
have,box,"A farmer has 15 boxes of apples, and each box contains either 12 or 16 apples. if the total number of apples is 180, how many boxes contain 16 apples?"
hold,maximum,"A bookshelf can hold a maximum of 18 books. if 3/5 of the books on the shelf are fiction, and the remaining books are non-fiction, what is the maximum number of non-fiction books that can be placed on the shelf?"
surround,lawn,"In a rectangular garden, a path that is 3 meters wide surrounds a central lawn. the length of the rectangle is twice its width. if the area of the rectangle is 48 square meters, what is the dimensions of the lawn?"
require,cup,"In a bakery, a batch of dough requires 3/5 cup of flour to produce 12 cupcakes. how many cups of flour are needed to make 48 cupcakes?"
have,digit,"In base 4, a number has three digits: _ _ _. the first digit represents the number of groups of 16 (since 4^2 = 16). the second digit represents the number of units in those groups. what is the value of the number represented by this base 4 number?"
sell,total,A bakery sells a total of 150 loaves of bread per day. they make $2 more profit on each whole wheat loaf and $0.50 less profit on each white bread loaf compared to whole wheat. the profit on a white bread loaf is $y. what is the value of y?
have,volume,A rectangular prism has a volume of 120 cubic cm and a base area of 9 square cm. what is the height of the prism?
charge,fee,"An airline charges a fixed fee of $20 for a flight plus an additional $0.10 per mile flown. if a passenger travels from city x to city y with a distance of 310 miles, how much will they pay in total?"
give,0.5x,"The cost of a shirt is given by the expression $\$ 0.5x + \$2$, where $x$ represents the number of hours worked. if the total cost is $\$32$, what is the value of $x$?"
sell,type,"A bakery sells a certain type of cake that comes in two sizes: small and large. the smaller cakes weigh 200 grams each and the larger cakes weigh 300 grams each. if a customer buys 15 small cakes and 7 large cakes, what is the total weight of the cakes purchased?"
produce,type,"The factory produces a type of cookie that comes in boxes of 8 cookies each. if the factory has produced x number of boxes, and each box contains an equal number of perfect squares, what is the value of x?"
sell,combination,"A bakery sells a combination of two types of cookies, chocolate chip and oatmeal raisin. they have 240 cookies in total, with 120 being chocolate chip and 120 being oatmeal raisin. if they want to package 6 cookies per box, how many boxes can they fill with these cookies?"
have,class,"A school has two classes of students, one for 3rd graders and another for 6th graders. the average test scores for the 3rd graders are 70 and for the 6th graders are 85. if there are 20 students in each class, what is the total difference between the sum of their scores?"
have,division,A school has two divisions of 7 teams each. how many games will be played in a complete season if each team plays every other team twice?
sell,loaf,"A bakery sells 250 loaves of bread per day at $2.50 per loaf. if they operate 30 days a week and are closed on sundays, how much money does the bakery make in a year (365 days) if it is open every day except for exactly one day when no bread was sold?"
sell,number,"A bakery sells a certain number of loaves of bread, with prices as follows: $0.50 for 1 loaf, $2.00 for 3 loaves, $3.25 for 5 loaves, and $4.75 for 7 loaves. what is the average price per loaf if the total sales were $283?"
find,value,Find the value of x in the equation (x + 2)^2 = 9x - 15.
sell,total,"A certain bakery sells a total of 250 loaves of bread per day. they make $2\%$ profit on each loaf and use a combination lock with a combination that has an equal number of odd and even numbers between 1 and 10, inclusive."
surround,bed,"In a rectangular garden, a path that is 4 meters wide surrounds a triangular bed with grass in it. the perimeter of the triangle is 42 meters. if the length of the base of the triangle is 11 meters, what is the area of the triangle?"
sell,total,"A bakery sells a total of 250 loaves of bread per day. they sell $x$ whole wheat breads, $y$ white breads, and $z$ rye breads. the ratio of whole wheat to white to rye breads is $2:5:3$. what is the value of $xy + yz + zx$, given that $x+y+z=250$?"
hold,liter,"A water tank can hold 1200 liters of water. due to a leak, it loses 30 liters of water every minute. how many minutes will it take for the tank to be completely empty? (assume no other sources of water enter or leave the tank.)"
have,capacity,"A water tank has a capacity of 2400 gallons, and it is currently empty. water flows into the tank at a rate that increases by 10 gallons every minute for the first 5 minutes, then remains constant after that. how many gallons of water will be in the tank after 15 minutes?"
produce,type,"A company produces two types of products: widgets and gizmos. the cost of producing a widget is $15 plus a monthly fixed cost that depends on the number of widgets produced, while the cost of producing a gizmo is $8 plus an additional monthly fixed cost per unit above 50 units. if the total monthly fixed costs for producing x widgets and y gizmos together is $4,500, what is the value of x + y?"
have,area,A rectangular garden has an area of 240 square meters with a perimeter of 72 meters. what are the dimensions of the garden in meters?
reduce,time,"In a particular type of reaction, a certain amount of catalyst can reduce the reaction time by a factor of 4 when the concentration of reactants is doubled. if it takes 6 hours to complete the reaction with half the normal concentration of reactants, how many hours will it take with double the normal concentration?"
save,money,"Tom has been saving money for a new bike and has $x^2 + 2x + 5$ dollars in his savings account. he adds $px^2$ dollars to his account each year, starting when he is 16 years old. if he will have exactly $x^4 + px^2 + q$ dollars after 6 years, what is the value of p + q."
have,circle,A farmer has five smaller circles with an unknown radius that fit into a larger circle with a known diameter of 12 meters. the circles are arranged in a symmetrical pattern as shown. what is the diameter of one of the smaller circles?
have,face,"A rectangular prism has three faces with areas of 48, 49, and 50 square units. find the volume of this rectangular prism."
save,money,"Mr. johnson has been saving money for a new bike and has $60 less than three times his age. if he is currently 12 years old, what is the amount of money he has saved so far?"
buy,car,"John recently bought a used car for $\$5000$ for his pizza delivery job. he gets $\$10$ for each pizza he delivers, but he has to spend $\$3$ on gas for each pizza he delivers. if we let $x$ be the number of pizzas john delivers per week, what is the minimum whole number value of $x$ such that john earns at least $\$5000$?"
design,track,"Maria and carlos are designing a new roller coaster track. they have two different types of track pieces: long straight tracks that cost $\$15$ each, and short curved tracks that cost $\$8$ each. in how many ways can they use exactly five of these track pieces to create a track that is at least 20 meters in length?"
sell,type,"A bakery sells three types of pastries: cakes, cookies, and pies. each cake costs $\$5$, each cookie costs $\$2$, and each pie costs $\$6$. if tom wants to make a total profit of $\$75$, what is the maximum number of each type of pastry he can buy with $\$60$?"
average,mile,"On a road trip from city a to city b, sally's car averages 40 miles per hour for the first 200 miles, then averages 50 miles per hour for the next 120 miles, and finally averages 60 miles per hour for the last 100 miles. what is the average speed for the entire 420-mile trip?"
plan,trip,"Tom is planning a road trip that will take him from city a to city b. the distance between the two cities is 240 miles, and he'll be driving on the highway for 2/3 of the entire distance. if gas costs $2.50 per gallon, how much will tom spend on gas for his trip if the total cost of gasoline in his car is $60?"
hold,gallon,"A water tank can hold 2400 gallons of water. due to a leak, the tank loses 5 gallons of water every minute. if the leak starts at midnight and continues for 8 hours, how many gallons of water will be left in the tank?"
charge,passenger,"An airline charges passengers for baggage fees as follows: $0-15 pounds = free, 16-30 pounds = $20 fee, 31-45 pounds = $40 fee. what is the cheapest way to check two bags weighing a total of 46 pounds?"
have,car,"An amusement park ride has cars that travel in triangular formation along three parallel tracks. each car travels at an average speed of 30 miles per hour. if the entire circuit takes 9 hours to complete, how many cars were on the track at any given time?"
hold,liter,"A water tank can hold 2400 liters of water. due to a leak, the water level drops at a rate of 10% per hour. at what time will the water level be 50% of the original volume?"
pack,bean,Tom's coffee company packs 12 coffee beans in boxes of 3 rows with 4 beans in each row. how many different ways can they pack the boxes?
sell,total,"A bakery sells a total of $240$ loaves of bread at $\$ 2$, $\$ 3$, $\$ 4$, and $\$ 5$. if they make no profit or loss, what is the value of x in the equation: 2x + 3x + 4x + 5x = 240?"
find,area,"In a triangle with vertices a(2,-2), b(-1,6) and c(4,0), find the area of the triangle."
have,box,"You have 15 boxes, some containing 3 marbles each and others containing 5 marbles each. how many different ways can you distribute the marbles to fill these boxes if the number of boxes with 3 marbles should not exceed 9?"
score,%,"In a class of students, 60% of the girls and 40% of the boys scored more than 90%. if the total number of students is 80, how many boys and girls were in the class?"
charge,fare,"After traveling 50 miles by taxi, ann is charged a fare of $120. if she had traveled 70 miles, what would be the cost in dollars?"
have,area,"A square has an area of 60. points a, b, c, and d are the midpoints of its sides. what is the area of the smaller square formed inside this larger one."
have,employee,"A company has 15 employees, and the average salary of all employees is $50,000 per year. if two new employees are hired at an average salary of $40,000 per year, what is the new average salary of all 17 employees?"
have,pencil,"Maria has 2400 pencils to pack into boxes of equal size. how many different ways can she divide them among the boxes, with each box containing at least one pencil and more than one box?"
save,money,Tom has been saving money for a new bike and has $120 in his savings account. he plans to add an additional $x$ dollars per week for the next 12 weeks. which values of x will allow him to have exactly $300 after 12 weeks?
sell,total,"A bakery sells a total of 480 muffins and cakes every day. they sell muffins for $2 each and cakes for $3 each. if they make a profit of $180 on the sale of these baked goods, how much do they spend on flour, sugar, and other ingredients to make the muffins and cakes?"
have,foot,"You have $240$ feet of fencing to put around a rectangular garden. if the width of the garden must be at least 4 feet, what are the maximum possible dimensions of the garden?"
cost,price,A certain battery-powered radio costs $15 more than twice its original price. its current price is $72. what was the original price of the radio?
have,cow,"Tom has two cows, bessie and buttercup. the total area they graze on is 35 square meters. the amount of grass their first grazed was $a$ square meters. find $(b)$ the area grazed by buttercup."
width,cm,"What is the volume of a rectangular prism with length 8 cm, width 5 cm, height 3/4 cm, if it is filled with fluid at a density of 0.93 g/cm³?"
have,book,"A bookshelf has 12 books on it, and each book is either red or blue. if 60% of the books are red and 40% are blue, how many red books were on the bookshelf originally?"
find,area,"In a rectangular garden with a length of 18 meters and a width of 12 meters, find the area if one-third of the garden is paved with gravel."
have,diameter,"A ferris wheel has a diameter of 14 meters, and it makes one full revolution in 12 minutes. what is the ratio of its circumference to the length of time it takes to make one full rotation?"
have,box,"Tom has 15 boxes of pens to pack into bags that hold exactly 3 pens each. if he wants to put an equal number of boxes in each bag, how many bags can he make?"
represent,value,"In base-5 number system, a two-digit number $xy$ (where $x$ and $y$ are digits) represents the value of $5x + y$. what is the largest possible value of $xy$?"
hold,gallon,"A water tank can hold 1200 gallons of water. due to a leak, 15% of the water evaporates each day. on the first day, how much water remains in the tank?"
sell,total,"A bakery sells a total of 480 muffins per day. they sell muffin tops and bottoms separately, but they come in packages of four. what is the number of packages sold per day?"
hold,liter,"A water tank can hold 2400 liters of water. water is flowing into the tank at a rate of 100 liters per minute, and water is draining from the tank at a rate of 15 liters per minute. at what rate, in liters per minute, is the water level rising?"
shoot,throw,"In a basketball game, the home team shoots 10 free throws per half, and they make 7 out of 10 shots. the visiting team shoots 12 free throws per half and makes 8 out of 12 shots. which team made more free throws overall?"
hold,gallon,"A water tank can hold 2400 gallons of water. if 1200 gallons of water flow into the tank in the first hour, and then 600 more gallons flow in each subsequent hour for a total of 12 hours, how many gallons of water are left in the tank after 12 hours?"
consider,route,"A company is considering two different routes for a delivery that start at the same location and end at the same location. route a takes 5 hours to complete, while route b takes 4 hours to complete. if the cost of traveling by route a is $2 per hour and the cost of traveling by route b is $3 per hour, what is the minimum amount saved by choosing route b over route a?"
make,type,"At a bakery, they make two types of cookies: chocolate chip and oatmeal raisin. they package 36 cookies in bags of 6 for $2 each, and packages of 12 for $3 each. if they have 234 cookies to sell, how many more bags of 6 and how many bags of 12 should they make?"
plan,project,"A school is planning a road construction project that involves pouring concrete in rectangular sections. each section will have dimensions of 5 meters by 10 meters. the total area to be covered with concrete is 210 square meters. if the crew can pour the concrete at a rate of 2 cubic meters per hour, how many hours will it take them to complete the job?"
sell,type,"A bakery sells two types of bread: whole wheat and white. on monday, the bakery sold 250 loaves of whole wheat bread and 180 loaves of white bread. on tuesday, the bakery sold 300 loaves of whole wheat bread and 220 loaves of white bread. the profit on each loaf of whole wheat bread is $0.75 and the profit on each loaf of white bread is $0.50. what was the total profit made by the bakery over the two days?"
have,shelf,"A bakery has 4 shelves, and each shelf can hold 6 trays of cupcakes. if they bake a total of 156 cupcakes in one day, how many more trays can they put on their shelves?"
have,set,"A school has two sets of lockers, numbered from 101 to 200 and from 201 to 300. how many more students are there in the first set than in the second set?"
have,box,"You have 12 boxes of pens, with 5 blue pens in each box, and 9 boxes of pencils, with 10 pencils in each box. how many writing instruments can you collect in total if you buy all of them?"
hold,liter,"A water tank can hold 1200 liters of water. due to a leak, 240 liters of water have already been lost. what percentage of the tank's capacity has been lost?"
sell,box,"A bakery sells $x$ boxes of cookies per day, where each box contains 24 cookies. if they have a total of 480 cookies to sell, how many days will it take them to sell all the cookies?"
sell,loaf,"A bakery sells 240 loaves of bread per day, and each loaf weighs 0.5 kg. if they operate 30 days a week, how many kilograms of bread do they sell in total after 12 weeks?"
travel,mile,"An ice cream truck travels 180 miles on saturday and 120 miles on sunday. if it continues to travel in this pattern, how many miles does it travel in one week?"
have,shelf,"A library has 5 shelves, and each shelf can hold 8 books. if the librarian already has 10 books on a certain shelf, how many more books can she put on this shelf before it is completely full?"
measure,concentration,"In an organic chemistry lab, students measure the concentration of hydrogen gas using a barometer that is calibrated to read hg (0 mmhg) at sea level. at what temperature does the barometer reading of 600 mmhg indicate a pressure equivalent to standard atmospheric pressure?"
sell,flight,"An airline sells flights from new york to los angeles at a total cost of $c$ dollars, including fuel costs of $c$ dollars per mile, with a fixed charge of $50 for passengers. the actual flight distance between the cities is approximately 2400 miles, and the flight time is about 5 hours. assuming the cost function can be represented as $f(x)$ where $x$ is the number of passengers, find $f(20)$."
sell,type,"A bakery sells two types of pastries: croissants and danish. the ratio of croissants to danish is 3:5, and the total number of pastries sold last week was 500. how many more croissants were sold than danish?"
have,box,"You have 15 boxes of pens, with 6 packs of pens in each box. if you want to put an equal number of pens in 5 smaller boxes, how many pens will be left over?"
have,shelf,"A bookshelf has 8 shelves, and each shelf can hold 12 books. if the bookshelf is currently empty, and 120 books are added to it, how many sets of 12 books can fit on the shelves?"
have,box,"Tom has 15 boxes of pens to pack into cartons that hold 5 pens each. how many cartons can tom fill if 3/5 of the boxes contain only black ink, 1/4 of the boxes contain blue ink, and 2/5 of the boxes contain green ink?"
have,surface,"A swimming pool has a circular surface with a radius of 10 meters. if it takes 15 seconds for a swimmer to complete one lap around the pool, how many strokes per minute does the swimmer take?"
plan,trip,"Tom is planning a road trip from city a to city b, which is 240 miles away. if he drives at an average speed of 40 miles per hour for 6 hours, what is his average speed?"
